Date,Open,High,Low,Close,Adj Close,Volume
2022-02-07,73000.0,75800.0,73000.0,73700.0,68965.359375,43944695.0
2022-02-14,74100.0,75600.0,73100.0,74300.0,69526.796875,43815359.0
2022-02-21,74300.0,74300.0,71300.0,71900.0,67281.0,28927767.0
2022-02-28,71900.0,73100.0,69900.0,70100.0,65596.625,44331206.0
2022-03-07,68800.0,70700.0,68700.0,70200.0,65690.203125,40656917.0
2022-03-14,70200.0,71000.0,69700.0,69900.0,65409.47265625,35754790.0
2022-03-21,69900.0,71200.0,69200.0,69700.0,65222.3203125,85349347.0
2022-03-28,70000.0,70500.0,68600.0,69300.0,64848.0234375,65891512.0
2022-04-04,69400.0,69600.0,67400.0,67900.0,63866.37109375,72384809.0
2022-04-11,67600.0,69000.0,66100.0,66700.0,62737.671875,71008120.0
2022-04-18,67100.0,68300.0,66300.0,66300.0,62361.4296875,65308127.0
2022-04-25,66400.0,67600.0,64500.0,67300.0,63302.01953125,88261108.0
2022-05-02,67400.0,68400.0,66100.0,66100.0,62173.30859375,51889015.0
2022-05-09,65900.0,67400.0,64900.0,66300.0,62361.4296875,72469804.0
2022-05-16,66600.0,68800.0,66500.0,67900.0,63866.37109375,75034252.0
2022-05-23,67500.0,67800.0,65500.0,67700.0,63678.265625,72264995.0
2022-05-30,67500.0,67500.0,66400.0,66800.0,62831.7265625,47547328.0
2022-06-06,66200.0,66400.0,62100.0,62100.0,58410.93359375,101981028.0
2022-06-13,61200.0,62200.0,58100.0,58700.0,55212.91015625,137977294.0
2022-06-20,58700.0,59900.0,56800.0,58800.0,55306.97265625,118199743.0
2022-06-27,59200.0,59500.0,55700.0,57100.0,53707.9609375,89922041.0
2022-07-04,57600.0,59600.0,56300.0,58800.0,55645.15625,80741728.0
2022-07-11,58600.0,62000.0,57400.0,61900.0,58578.828125,74762488.0
2022-07-18,61400.0,62200.0,60200.0,61100.0,57821.75390625,63776864.0
2022-07-25,60800.0,62600.0,60300.0,61300.0,58011.0234375,52911446.0
2022-08-01,61200.0,61900.0,60600.0,60800.0,57537.83984375,53674965.0
2022-08-08,60600.0,60700.0,58600.0,60200.0,56970.04296875,62264118.0
